ASV,stat,p-value,adjust pvalue,OA
ASV6122,0.173593648,0.004,0.051517544,Low
ASV6103,0.119254368,0.025,0.215285924,Low
ASV599,0.147269153,0.008,0.088816635,Low
ASV5976,0.155458161,0.012,0.124515901,Low
ASV5952,0.123191801,0.023,0.201911809,Low
ASV5854,0.144197391,0.011,0.115983842,Low
ASV5729,0.13081008,0.03,0.241025992,Low
ASV5687,0.138053698,0.009,0.098064935,Low
ASV5646,0.137374308,0.018,0.172735294,Low
ASV5604,0.22316665,0.001,0.018126543,Low
ASV5535,0.17975032,0.004,0.051517544,Low
ASV543,0.18925543,0.005,0.060297741,Low
ASV5356,0.135803619,0.022,0.201255452,Low
ASV5354,0.135476419,0.04,0.296616162,Low
ASV534,0.146554805,0.03,0.241025992,Low
ASV5294,0.196311306,0.003,0.041652482,Low
ASV5145,0.158425175,0.003,0.041652482,Low
ASV5119,0.14582948,0.028,0.232265537,Low
ASV5114,0.206604421,0.001,0.018126543,Low
ASV5101,0.206226933,0.002,0.031074074,Low
ASV51,0.167654459,0.001,0.018126543,Low
ASV5074,0.193974891,0.001,0.018126543,Low
ASV4968,0.258821142,0.001,0.018126543,Low
ASV492,0.125051351,0.046,0.33107598,Low
ASV4774,0.158401924,0.021,0.196077901,Low
ASV4771,0.136390623,0.015,0.150076661,Low
ASV469,0.171843831,0.001,0.018126543,Low
ASV468,0.15436651,0.034,0.263085639,Low
ASV4677,0.121354166,0.031,0.245699055,Low
ASV465,0.271949012,0.001,0.018126543,Low
ASV4623,0.130461548,0.025,0.215285924,Low
ASV4618,0.131147685,0.03,0.241025992,Low
ASV4573,0.394821483,0.001,0.018126543,Low
ASV4571,0.260136,0.001,0.018126543,Low
ASV4494,0.186274331,0.002,0.031074074,Low
ASV4433,0.265637515,0.001,0.018126543,Low
ASV439,0.216428835,0.002,0.031074074,Low
ASV4374,0.273284391,0.001,0.018126543,Low
ASV4334,0.125910736,0.03,0.241025992,Low
ASV4255,0.161196639,0.009,0.098064935,Low
ASV4242,0.135679459,0.038,0.285754161,Low
ASV4163,0.15189329,0.007,0.079059615,Low
ASV4159,0.136669353,0.03,0.241025992,Low
ASV4062,0.135740287,0.018,0.172735294,Low
ASV4029,0.144500776,0.022,0.201255452,Low
ASV4009,0.301683455,0.001,0.018126543,Low
ASV3993,0.148965381,0.001,0.018126543,Low
ASV3990,0.234494526,0.001,0.018126543,Low
ASV3987,0.188856339,0.001,0.018126543,Low
ASV3831,0.187069084,0.001,0.018126543,Low
ASV3814,0.154369505,0.011,0.115983842,Low
ASV3447,0.142899038,0.022,0.201255452,Low
ASV3438,0.162441711,0.003,0.041652482,Low
ASV3393,0.176541673,0.004,0.051517544,Low
ASV339,0.232746964,0.001,0.018126543,Low
ASV3318,0.152338129,0.009,0.098064935,Low
ASV3218,0.158504421,0.019,0.18026979,Low
ASV319,0.192595022,0.001,0.018126543,Low
ASV3185,0.150315155,0.001,0.018126543,Low
ASV3134,0.235131877,0.001,0.018126543,Low
ASV3115,0.135202784,0.022,0.201255452,Low
ASV3083,0.254896145,0.001,0.018126543,Low
ASV3060,0.119439799,0.027,0.227179083,Low
ASV3046,0.111820728,0.033,0.25738247,Low
ASV302,0.126881553,0.023,0.201911809,Low
ASV3019,0.123963002,0.007,0.079059615,Low
ASV2932,0.128343054,0.03,0.241025992,Low
ASV2914,0.189665004,0.002,0.031074074,Low
ASV291,0.176170505,0.004,0.051517544,Low
