Latitude	Longitude	Depth	temp	salinity	oxygen	nitrate	nh4	dic	pH_corrected	phosphate	log_temp	log_salinity	log_phosphate	log_nh4	log_nitrate
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund
28.683	-95	1	27.756	31.776	195.3	0.037184175	1.146838252	1993.743925	8.034	0.265181883	3.323812251	3.459025941	-1.290323007	0.145690639	-3.053696718
27.335	-96.783	1	28.714	34.696	194.6	0.012693423	0.394472526	2035.460884	8.038	0.124981394	3.35773301	3.546912583	-2.002618332	-0.905171466	-3.785680132
26.067	-96.923	1	29.059	35.566	196.7	0	0.2478493	2056.177498	8.04	0.145391912	3.369672314	3.571671253	-1.861804889	-1.355379973	-4.605170186
26.061	-96.807	1	29.3	35.706	188.9	0.001951368	0.193185477	2069.99701	NA	0.089762949	3.377928755	3.575598768	-2.304958417	-1.593636037	-4.42690953
26.061	-96.568	1	29.084	35.491	192.6	0	0.162953543	2055.024704	8.025	0.060497722	3.370531967	3.569560865	-2.652174882	-1.754732258	-4.605170186
26.058	-96.325	1	28.768	35.107	195.3	0.048809382	0.27333254	2016.955833	8.054	0.011714252	3.359611206	3.558685344	-3.82978646	-1.261134018	-2.833453879
26.059	-96.082	1	29.39	35.353	195.9	0	0.297638147	2033.909486	8.052	0.025372432	3.380994674	3.565666076	-3.341822519	-1.178831034	-4.605170186
26.058	-95.841	1	29.261	35.304	194.3	0.003904191	0.24596403	2036.471984	8.047	0.168856259	3.376597265	3.564279486	-1.721172818	-1.362718352	-4.275564973
26.059	-95.55	1	29.219	35.583	194.5	0.010738753	0.874720233	2034.74425	8.054	0.025382507	3.375161367	3.572148989	-3.341537734	-0.122483805	-3.875751203
26.059	-95.121	1	29.24	35.878	192.2	0.026341607	0.922931848	2045.213907	8.051	0.026341607	3.375879574	3.580402978	-3.314791996	-0.069423127	-3.314791996
26.058	-94.671	1	29.272	36.091	186.7	0.002926299	0.284826456	2051.624415	NA	0.020484094	3.376972993	3.586320566	-3.49055024	-1.22136838	-4.348491361
26.058	-94.197	1	29.349	36.011	194	0.090712612	0.977355236	2048.150275	8.045	0.024385111	3.379599143	3.584102102	-3.370131628	-0.012725389	-2.295484244
26.058	-93.729	1	28.931	35.847	194.5	0	0.887750389	2030.049785	8.055	0.005853299	3.365259275	3.579538806	-4.144377662	-0.107863213	-4.605170186
26.057	-93.262	1	28.762	35.775	199	0	0.242930947	2040.092037	8.057	0.039025052	3.359402692	3.577528811	-3.015423846	-1.374638764	-4.605170186
24.999	-93.416	1	29.435	36.202	192.8	0.050708362	0.139447996	2036.824252	8.039	0.001950322	3.382524116	3.589390556	-4.426997055	-1.9008068	-2.801673831
22.275	-97.719	1	29.273	35.448	196.2	0.071231811	0.394214407	2044.69467	8.047	0.062449807	3.377007143	3.568348897	-2.624861274	-0.905809831	-2.510448347
22.274	-97.639	1	29.438	35.677	196.2	0.002926838	0.240976347	2044.793417	8.045	0.050731862	3.382625996	3.574786477	-2.801286809	-1.382396579	-4.348449664
22.273	-97.546	1	29.58	35.992	194.6	0.005852307	0.316024562	2052.055328	8.043	0.037064609	3.387436466	3.583574492	-3.056233962	-1.120782557	-4.144440237
22.275	-97.453	1	29.557	36.245	194.6	0.00195042	0.237951286	2055.403507	8.038	0.047785299	3.386658875	3.590577303	-2.851020878	-1.39452298	-4.426988855
22.274	-97.361	1	29.438	36.261	193	0	0.205742493	2051.792204	8.046	0.028277404	3.382625996	3.591018524	-3.262895531	-1.533669745	-4.605170186
22.274	-96.77	1	29.298	36.02	193.4	0	0.174706898	2039.451403	8.045	0.010736178	3.377860516	3.584351925	-3.875875375	-1.688985045	-4.605170186
22.274	-96.18	1	29.322	35.879	191.7	0	0.242880608	2033.402374	8.044	0.034139844	3.37867907	3.580430842	-3.120392412	-1.374837807	-4.605170186
22.276	-95.588	1	29.509	36.221	193.8	0.00780198	0.24673763	2055.941785	8.048	0.039009902	3.385034124	3.589915106	-3.01573292	-1.35970061	-4.028445592
22.274	-95	1	29.536	36.197	193.3	0.005851675	0.219437803	2047.999894	8.044	0.041937002	3.385948371	3.58925247	-2.957723795	-1.472123297	-4.144480106
20.729	-94.75	1	29.517	36.422	192.4	0	0.29546571	2054.993021	8.041	0.066309136	3.385305099	3.595447509	-2.57296261	-1.185917749	-4.605170186
20.601	-94.29	1	29.389	36.425	195.4	0	1.0063427	2057.363761	8.031	0.027303872	3.38096066	3.595529851	-3.288658151	0.016210595	-4.605170186
20.02	-93.771	1	29.403	34.943	193.1	0.003904547	0.117136423	2015.282078	8.027	0.069305717	3.381436753	3.554004302	-2.53444506	-2.062494572	-4.27553937
